QUEST_LV_0300_20151022_000523		병사들이랑은 말도 안 통해.{nl}이렇게까지 도와줬는데 설마 내쫓겠어?				도굴꾼 아만다
QUEST_LV_0300_20151022_000524		일단 하라는 대로 다 들어주긴 했는데.. 이젠 어떡하지?				도굴꾼 아만다
QUEST_LV_0300_20151022_000525		세상에.. 어떻게 이럴수가..{nl}				도굴꾼 아만다
QUEST_LV_0300_20151022_000526		아냐. 정신 차려야지. {nl}이 정도로 넋빠질 거라면 애초에 여길 들어오지도 않았어.{nl}일단 포탈로 들어가 보자.				도굴꾼 아만다
QUEST_LV_0300_20151022_000527		끔찍한 저주란게 대체 뭐지?{nl}그리고 아까 그 마족은.. 도대체 여긴 뭐가 어떻게 된 거지?{nl}				도굴꾼 아만다
QUEST_LV_0300_20151022_000528		석화 서리는 많이 봐 왔지만, 이런 건 처음이라 너무 놀랐어.{nl}일단 포탈로 들어가 보자. 이런 걸로 멈출 순 없어.				도굴꾼 아만다
QUEST_LV_0300_20151022_000529		뭔가 말도 안되게 엄청나고 거대한 힘이었어.{nl}이번엔 확실하다고.				도굴꾼 아만다
QUEST_LV_0300_20151022_000530		그 힘은 너무 거대해서 두렵기까지 할 정도였어.{nl}도대체 이 모노클은 무엇을 보는 걸까..				도굴꾼 아만다
QUEST_LV_0300_20151022_000531		꼭 인증표 만드는 방법 쪽지로 남기는 것 잊지 마.{nl}그게 없으면 난 네가 올 때까지 하염없이 기다려야 한 단 말야.				도굴꾼 아만다
QUEST_LV_0300_20151022_000532		네가 그 노인의 시선 좀 끌어 줘.{nl}나는 따로 좀 알아볼 게 있어. {nl}				도굴꾼 아만다
QUEST_LV_0300_20151022_000533		중간중간 서로 연락하면서 당분간 따로 움직이자. 알았지?				도굴꾼 아만다
QUEST_LV_0300_20151022_000534		에미넌트라는 사람과 결전지에서 다시 만나기로 했댔지?{nl}같이 가 보자. 모노클로 직접 보면 확실해 질 거야.				도굴꾼 아만다
QUEST_LV_0300_20151022_000535		600년 전의 사람이 아직도 살아있는 것도 모자라 마족과 한패일지도 모른다니.{nl}너무 엄청난 사실들이 쏟아지니까 머리가 다 아파와.				도굴꾼 아만다
QUEST_LV_0300_20151022_000536		일단 넌 에미넌트의 요구를 대충 들어주는 게 좋겠어.{nl}그러다가 몰래 파라미조 격전지에서 만나는 거야. 알겠지?				도굴꾼 아만다
QUEST_LV_0300_20151022_000537		에미넌트가 내 존재를 모르고 있다는 게 정말 다행이야.{nl}준비는 내가 해 놓을테니 잊지 말고 파라미조 격전지로 와.				도굴꾼 아만다
QUEST_LV_0300_20151022_000538		나? 난 이제 본격적으로 내 일을 시작해야지.{nl}덕분에 실마리도 좀 얻었으니까 금방 찾을 수 있을 거야.{nl}				도굴꾼 아만다
QUEST_LV_0300_20151022_000539		에미넌트 덕분에 칼리스 기사단이 좋아할 만한 걸 잔뜩 알아냈어.{nl}하지만 아직 내 몫은 챙기지 못했으니까, 난 조금 더 남아 있으려고.				도굴꾼 아만다
QUEST_LV_0300_20151022_000540		퇴각해야 한다..{nl}그렇지 않으면 전멸이야..				루클리스 부대원의 영혼
QUEST_LV_0300_20151022_000541		어서 퇴각 나팔을 불어야..				루클리스 부대원의 영혼
QUEST_LV_0300_20151022_000542		이런 하등 도움도 안 되는 비석들은 다 파괴해 버려야 해요.{nl}이젠 여신은 그만 찾고 현실을 봐야죠.				알비나스
QUEST_LV_0300_20151022_000543		괘씸하군. 분명 우리 말고도 이런 이간질에 넘어간 사람들이 있을 게요.{nl}힘으로 눌러찍는 것 뿐만 아니라 속에서부터 점점 무너뜨리려는 게지..				다미요나스
QUEST_LV_0300_20151022_000544		마족의 농간이 점점 고약해지고 있소.{nl}아니, 고약한 수준이 아니라 아주 위험한 냄새가 나오.				다미요나스
QUEST_LV_0300_20151022_000545		다미요나스에게 이미 한 소리 들었을 테니 여기까지만 해 두는 거예요.{nl}다신 절대로 비석은 부수지 마세요.				에뒤나스
QUEST_LV_0300_20151022_000546		사람의 마음에 빈 틈이 생기면 나쁜 마음이 비집고 들어가기 쉬워지지요.{nl}이런 때일수록 더 굳건한 믿음을 가져야 해요.				에뒤나스
QUEST_LV_0300_20151022_000547		정말, 소름돋아요.{nl}이젠 하다하다 마족이 사람 틈에 섞여서 이간질까지 하다니..				에뒤나스
QUEST_LV_0300_20151022_000548		다음부턴 절대로. 비석을 부수는 일 따윈 하지 마세요.{nl}어떻게 만든 비석인데..				에뒤나스
QUEST_LV_0300_20151022_000549		파비유스를 기다리면서 우리도 따로 알아보는 게 좋겠어요.{nl}당신은 바르테에게 물어 봐 주시겠어요?				게다스
QUEST_LV_0300_20151022_000550		확실히 알비나스라는 이름은 저도 들은 적이 없어요.{nl}게다가 우리 네스토스파와 아나스토스파는 서로를 존중한다고요.				게다스
QUEST_LV_0300_20151022_000551		파비유스..{nl}제발 무슨 일이 생기지 않았으면 좋겠는데..				게다스
QUEST_LV_0300_20151022_000552		네스토스파 사람들이 마족을 상대하는 방법을 확실히 알아요.{nl}사정을 설명하면 분명 도와줄 거예요!				게다스
QUEST_LV_0300_20151022_000553		당신이 아니였으면 정말 위험했어요.{nl}마족.. 지지 않으려면 저희도 언제까지 입장만 내세우는 건 그만 두어야겠지요.				게다스
QUEST_LV_0300_20151022_000554		바이가의 문장이라니, 그런 건 마족의 하수인들이나 쓰는 문장이에요.{nl}인간이 그런 문장을 쓰는 건 한 번도 본 적이 없었다고요.				바르테
QUEST_LV_0300_20151022_000555		인간의 틈에 섞인 마족이라니, 우린 이제 무얼 의지해야 하죠?{nl}여신 말고는 도대체 무얼 믿을 수 있을까요..				바르테
QUEST_LV_0300_20151022_000556		자네 혹시 대성당이라던가 마법사의 탑을 본 적이 있나?{nl}아니면 페디미안의 거대 여신상 같은 것 말이다.{nl}				레오폴다스
QUEST_LV_0300_20151022_000557		그렇게 큰 공사를 일개 개인이 할 수 있을 것 같나?{nl}물론 아니지. 왕국이 나서더라도 그런 엄청난 자재들을 대는 건 힘든 일이야.{nl}				레오폴다스
QUEST_LV_0300_20151022_000558		그 역사적인 대공사의 자재를 공급해 온 유서 깊은 상단이 있지.{nl}바로 그게 우리 케도라 상단이라는 말씀!{nl}				레오폴다스
QUEST_LV_0300_20151022_000559		여태껏 여신의 뜻에 따라 그림자 뒤에서 몰래 왕국을 도왔지만..{nl}이제부터라도 세상을 돕는 일에 적극적으로 나설 거야.				레오폴다스
QUEST_LV_0300_20151022_000560		뭐, 우리 정도나 되는 상단이 표면 밖으로 나왔으니 앞으로 엄청 힘든 일만 가득하겠지.{nl}가령 마족의 표적이 된다거나.{nl}				레오폴다스
QUEST_LV_0300_20151022_000561		하지만 그런 건 흔한 일이야. 예전에도 위험했던 건 마찬가지거든.{nl}같은 여신의 동지끼리 잘 해 보자고.				레오폴다스
QUEST_LV_0300_20151022_000562		나머진 쉽게 처리할 수 있는 일이니 저희가 할게요.{nl}그 동안 도와주셔서 감사했어요.				에디타
QUEST_LV_0300_20151022_000563		여기 마나하스 말고도 회수해야 할 물건이 많아요.{nl}어떤 건 마족의 손에 들어가면 큰일나는 물건이라 걱정이네요.				에디타
QUEST_LV_0300_20151022_000564		앞으로 신입이 더 많이 들어올 테니까 교육서를 더 잔뜩 만들 생각이야.{nl}자네 덕분에 구할 건 다 구했으니 이제 걱정 없지 뭐.				마르젤리유스
QUEST_LV_0300_20151022_000565		상단이 세상에 나선다는 게 좋은 뜻이란 건 알겠는데 목숨이 남아날 지는 모르겠어.{nl}뭐, 그렇다고 해서 안하던 일을 하게 된 건 아니니까 상관 없어.{nl}				마르젤리유스
QUEST_LV_0300_20151022_000566		왕국은 아직 마족에게 무너지지 않았소.{nl}정성을 다하면 언젠간 예전같은 평화를 찾을 수 있을 게요.				안타나스
QUEST_LV_0300_20151022_000567		나머지는 오르샤에서 작업할 거예요.{nl}도와주셔서 정말 감사했습니다.				기에드라
QUEST_LV_0300_20151022_000568		네스토스파들이 대책없이 비석만 세워놓고 있어요.{nl}비석이 오염되어서 몬스터들을 끌어들이고 있는데도요.				알비나스
QUEST_LV_0300_20151022_000569		우린 당연히 아닐 테고, 아나스토스파에도 그런 이름은 없을 게 분명하고.{nl}그렇다면 알비나스라는 여자는 도대체 누구람?				다미요나스
QUEST_LV_0300_20151022_000570		아무리 생각해도 괘씸하군. 그 알비나스라는 여자..{nl}도대체 무슨 생각으로 비석을 부수는 거지?				다미요나스
QUEST_LV_0300_20151022_000571		여신께 힘을 보탤 비석을 만들고 있어요.{nl}성스러운 기운을 비석에 모아 여신께 보내는 것이지요.				에뒤나스
QUEST_LV_0300_20151022_000572		이렇게 힘든 때일수록 마음에 기댈 곳이 없으면 쉽게 무너져버려요.{nl}그러니 여신의 믿음이 더욱 중요하지요.				에뒤나스
QUEST_LV_0300_20151022_000573		정신이 하나도 없어요.{nl}네스토스파와 아나스토스파의 견해 차이를 연구하고 있는데.. 제 연구실이 그립네요.				게다스
QUEST_LV_0300_20151022_000574		믿음은 하나일지언정 견해는 여러 갈래로 나뉠 수 있죠.{nl}저 쪽의 네스토스파나 저희 아나스토스파 처럼요.{nl}				게다스
QUEST_LV_0300_20151022_000575		그렇다고 해서 이게 큰 차이나 다툼이 되지는 않아요.				게다스
QUEST_LV_0300_20151022_000576		전 왕국을 순례하는 중이에요.{nl}이 캠프에 온 지는 얼마 안되었네요.				바르테
QUEST_LV_0300_20151022_000577		처음 순례를 시작했을 땐, 가는 곳 마다 한숨소리만 가득했었는데..{nl}지금은 계시자님들 덕분인지 희망이 조금은 보이는 것 같아요.				바르테
QUEST_LV_0300_20151022_000578		누구나 4년 전의 평화로운 세상을 그리워하죠.{nl}아나스토스파는 그 때로 다시 되돌아가려면 현실을 좀 더 직시해야 한다곤 하지만..{nl}				니욜레
QUEST_LV_0300_20151022_000579		우리가 여신을 믿지 않으면 누가 믿겠어요.{nl}우리 네스토스는 여신 또한 현실이라고 생각해요.				니욜레
QUEST_LV_0300_20151022_000580		당신이 비석을 부쉈다는 그 분인가요?{nl}정말이지..				니욜레
QUEST_LV_0300_20151022_000581		마족이 아나스토스파를 사칭했다고 들었어요.{nl}하지만 우린 그런 일로 서로 다툰다거나 하지 않을 거예요.				니욜레
QUEST_LV_0300_20151022_000582		우리 아나스토스는 네스토스파보단 좀 더 현실에 집중하고 있어요.{nl}두 손 다 놓고 하염없이 여신만을 기다릴 순 없는 거잖아요?{nl}				파비유스
QUEST_LV_0300_20151022_000583		하지만 모두 여신을 섬기고 신앙에 집중하는 사람들이예요.{nl}그러니 이렇게 순례의 길도 나선 것이지요.				파비유스
QUEST_LV_0300_20151022_000584		알비나스란 여자가 파이어로드로 변해서 절 공격해 올 때는 정말 아찔했어요.{nl}무사히 캠프로 돌아올 수 있게 도와주셔서 정말 감사드려요.				파비유스
QUEST_LV_0300_20151022_000585		케도라 상단은 언제나 여러분을 환영한답니다.{nl}물어 볼 것이 있으면 언제든 오세요!				레오폴다스
QUEST_LV_0300_20151022_000586		어머, 저희 상단은 처음 보시나 보죠?{nl}그럴 수 밖에요. 여태껏 음지에서만 활동해 왔으니까요.{nl}				에디타
QUEST_LV_0300_20151022_000587		자세한 건 레오폴다스 아저씨께 들을 수 있어요.{nl}전 일이 바빠서 이만..				에디타
QUEST_LV_0300_20151022_000588		원래 우리 케도라 상단은 여신의 뜻을 받들기는 해도 나서지 않고 뒤에서만 움직였거든.{nl}그런데 세상이 이 모양이니 가만히 있을 수가 있나.{nl}				마르젤리유스
QUEST_LV_0300_20151022_000589		그래서 적극적으로 나서기로 했어.{nl}마족의 표적이 되는 한이 있어도 말이야.				마르젤리유스
QUEST_LV_0300_20151022_000590		우리 케도라 상단에서는 신입을 본격적으로 받을 생각이야.{nl}혹시 자네도 관심 있나?				마르젤리유스
QUEST_LV_0300_20151022_000591		케도라 상단의 신입이라 아직 많이 부족해요.{nl}레오폴다스님은 그냥 자부심만 강조하시지만요..				게르다
QUEST_LV_0300_20151022_000592		아직 설치 해야 할 알림판이 많지만, 나머진 혼자 해낼 거예요.{nl}할 수 있을 거예요. 아마도요..				게르다
QUEST_LV_0300_20151022_000593		케도라 상단의 신입입니다. 잘 부탁드려요!{nl}말로만 듣던 케도라 상단이 신입을 모집한다고 해서 바로 입단했어요.				세라피나스
QUEST_LV_0300_20151022_000594		케도라 상단의 이름으로 계시자들을 돕는 게 제 일입니다.{nl}앞으로도 신입 꼬리를 뗄 때 까지는 이 일을 계속 하게 될 것 같아요.				세라피나스
QUEST_LV_0300_20151022_000595		회수 조원				
QUEST_LV_0300_20151022_000596		케도라 상단이 이 곳에서 신수의 날에 잃어버렸던 물건들을 회수하는 작업을 하는 중입니다.{nl}이 일은 유라테 조장이 맡아서 하고 있어요.				회수 조원
QUEST_LV_0300_20151022_000597		기록 조원				
QUEST_LV_0300_20151022_000598		케도라 상단의 기록 관련한 실무를 진행하고 있습니다.{nl}기록에 필요한 것들의 수량을 파악하는 등등이지요.				기록 조원
QUEST_LV_0300_20151022_000599		신입들을 교육시킬 교육지침서를 관리합니다.{nl}이것도 케도라 상단의 기록의 일종이거든요.				기록 조원
QUEST_LV_0300_20151022_000600		여신이 돌아오시기를 기다리며 늘 기도를 드리고 있소.{nl}늙은 몸이라도 할 수 있는 건 다 해보려 한다오.				안타나스
QUEST_LV_0300_20151022_000601		뭐, 들어본 적 없어도 별로 상관은 없소.{nl}본디 조용하게 자기의 신앙에만 충실한 사람들이니까.				안타나스
QUEST_LV_0300_20151022_000602		너무 답답해서 경전 재료를 찾으러 나왔어요.{nl}여신께선 언젠가는.. 돌아오시겠죠?				기에드라
QUEST_LV_0300_20151022_000603		잃어버렸던 걸 찾아서 얼른 파사카 협곡으로 가고 싶어..				케스타스
QUEST_LV_0300_20151022_000606		너도 이런 녀석들과 얽히지 않는 게 좋을거야.				파드너 에리카스
QUEST_LV_0300_20151022_000620		에이, 나쁜 생각은 그만 두렵니다.				보급병 론다
QUEST_LV_0300_20151022_000625		누구라도 그렇게 하지 않으면 왕국은 무너지고 말 겁니다.{nl}고향도, 가족도 지켜줄 이 하나 남지 않게 되는 것이죠.				스토가스 분대장 아데스
QUEST_LV_0300_20151022_000627		하지만 덕분에 한 가지 배웠죠. {nl}몬스터가 먹는다고 꼭 식용일 수는 없다는 것을요.				마법사 호라스
QUEST_LV_0300_20151022_000633		갑자기 망자들이 깨어나질 않나.{nl}웬 보코르가 관을 다 부수고 다니질 않나. 이게 대체 무슨 난리람?				묘지기 시기스
QUEST_LV_0300_20151022_000634		묘지기 인생에 이런 건 처음 보는군.{nl}하긴 신수의 날 때도 난리도 아니였는데, 망자까지? {nl}아이고, 나 참..				묘지기 시기스
QUEST_LV_0300_20151022_000635		아무리 생각해도 진리의 나무 교단은 사기꾼 같아요.{nl}제미나님이 이런 교단을 축복하셨을 리가 없어요.				보코르 유타
QUEST_LV_0300_20151022_000636		결국 아무것도 모르고 제 멋대로 묘지를 헤집어 놓은 꼴이네요..{nl}시기스님 얼굴 보기가 참 민망해요.				보코르 유타
QUEST_LV_0300_20151022_000637		신수는 재앙의 상징이 아닙니다.{nl}우리 모두를 구원해 주실 위대한 의지의 상징이지요.				신도 긴타스
QUEST_LV_0300_20151022_000638		당신도 곧 신수의 은혜를 깨닫게 되는 날이 올 겁니다.{nl}저희 진리의 나무 교단에 입단하시는 건 어떻습니까?				신도 긴타스
QUEST_LV_0300_20151022_000639		아아.. 나는.. 구원받지 못했다..				신도의 영혼
QUEST_LV_0300_20151022_000640		어리석었다.. 나는 참으로 어리석었다..				신도의 영혼
QUEST_LV_0300_20151022_000641		자넨 구원을 믿나?{nl}				마르기리스
QUEST_LV_0300_20151022_000642		여신을 믿는 건 어리석은 일이지. {nl}왕도에 우뚝 솟은 신수가 자넬 구원해 줄 것이네.				마르기리스
QUEST_LV_0300_20151022_000643		구원을 쉽게 바라선 안 되네.{nl}신수께 뭔가 요구하기 전에 스스로가 신수를 위해 뭘 했는지 생각해 보게나.				마르기리스
QUEST_LV_0300_20151022_000644		죽은 자를 깨워서 안식을 방해하는 것이 놈들이 말하는 진리더냐?				칼라일의 영혼
QUEST_LV_0300_20151022_000645		살아생전에 왕국의 토지를 관리했던 나에게 대역죄인이라니 가당치도 않다.				칼라일의 영혼
QUEST_LV_0300_20151022_000646		아야야.. 페릿 놈들 발톱 한번 엄청 날카롭네요..				드루이드 레야
QUEST_LV_0300_20151022_000647		이곳 마을 주민들은 외지인을 쉽게 반기지 않아요..{nl}호의는 바라지 않으시는 게 좋을 걸요?				
QUEST_LV_0300_20151022_000648		못 보던 얼굴인데.. 자네는 누군가?				마을 촌장
QUEST_LV_0300_20151022_000649		전승 속의 계시자가 우리를 구해주러 나타나다니..{nl}고맙네.. 모두가 자네를 얼마나 기다렸는지 모른다네..				마을 촌장
QUEST_LV_0300_20151022_000650		어허.. 아직도 여기 있으면 어떡해..{nl}그러다가 소녀를 놓치면 큰일이네.{nl}어서 쫓아가봐.				마을 촌장
QUEST_LV_0300_20151022_000651		누구시죠? 처음보는 얼굴인데..?{nl}마을 남자들만 해도 피곤하니까 용건 없으면 말 걸지 말아주실래요..?				마을 주민
QUEST_LV_0300_20151022_000652		어머 계시자님..{nl}만나뵙게 되서 영광이에요..{nl}마을을 잘 부탁드려요..				마을 주민
QUEST_LV_0300_20151022_000653		페릿이 육포를 잘 먹나 구경이나 가볼까요..?{nl}위험하겠죠..?{nl}궁금한데..				마을 주민
QUEST_LV_0300_20151022_000654		누구세요? 여긴 처음 오신 건가요?{nl}촌장님께 허락은 구하셨어요?				촌장 손자
QUEST_LV_0300_20151022_000655		전승 속의 계시자님이라니..{nl}마을 사제님께 들었어요. 위험에 처한 사제님을 빛으로 구해주셨다면서요?{nl}그 빛.. 저도 꼭 한 번 보고 싶네요!				촌장 손자
QUEST_LV_0300_20151022_000656		아.. 조각상을 설치하니까 오히려 페릿들이 더 난폭해졌다구요?{nl}아마 조각상이 미완성이라서 그랬을 거에요..{nl}괜히 위다스 아저씨한테 죄송하네..				촌장 손자
QUEST_LV_0300_20151022_000657		아.. 안녕하세요..{nl}초면에 죄송하지만.. 용건이 없으시면 이만 돌아가주세요..{nl}마을 분위기가 많이 좋지 않습니다..				마을 사제
QUEST_LV_0300_20151022_000658		계시자님! 빛과 함께 마을을 구할 거라는 전승 속의 계시자님 맞으시죠?{nl}저는 봤습니다. 계시자님의 그 찬란한 빛을..{nl}그 빛이 아니었다면 전 이미 페릿한테 당하고 말았을 거에요.{nl}정말 감사합니다.				
QUEST_LV_0300_20151022_000659		마을 대사제				
QUEST_LV_0300_20151022_000660		뭐야.. 볼 일 없으면 돌아가시오..{nl}이 마을은 이미 진작에 끝났소..				마을 대사제
QUEST_LV_0300_20151022_000661		계시자.. 계시자라.. 아니야.. 우리 마을은 이미 끝났소..{nl}당신은 너무 늦게 왔소.. 이제 와서 계시자가 무슨 소용이란 말이오..{nl}우리 마을은 라다 여신이 납치당하는 그 순간 끝난 거요..				마을 대사제
QUEST_LV_0300_20151022_000662		..아니야.. 이게 아니야..				딥디르비 위다스
QUEST_LV_0300_20151022_000663		마을을 구하러 오셨다니 듣던 중 반가운 소리네요..{nl}반갑습니다. 저는 딥디르비 위다스입니다..{nl}페릿들을 예전으로 되돌릴 조각상을 만들어 보고 있죠..				딥디르비 위다스
QUEST_LV_0300_20151022_000664		페릿이 더 난폭해졌다니.. 마치 마족 토템을 만든 기분이네요..{nl}처음부터 다시 만들어봐야겠어요..				딥디르비 위다스
QUEST_LV_0300_20151022_000665		어? 계시자님.. 벌써 오시면 어떡해요..{nl}여긴 제가 먼저 살펴볼테니까 마을 사람들부터 도와주세요.				드루이드 레야
QUEST_LV_0300_20151022_000666		부디 소녀를 쫓아 마을과 라다 여신을 구해주세요..				드루이드 레야
QUEST_LV_0300_20151022_000667		계시자님이라면 반드시 해내실 줄 알았어요!{nl}감사합니다. 정말 감사합니다.{nl}계시자님을 이 곳 까지 인도해주신 라이마 여신께도 감사합니다!				드루이드 레야
QUEST_LV_0300_20151022_000668		마을을 구해주셔서 감사합니다.{nl}하지만 여전히 페릿들이 정신을 차리질 못하니 조각상에 더 박차를 가해야겠습니다.				딥디르비 위다스
QUEST_LV_0300_20151022_000669		마을과 라다 여신을 구해주셔서 감사합니다.				촌장 손자
QUEST_LV_0300_20151022_000670		마군주를 몰아내셨다니 대단해요!{nl}계시자님 덕분에 페릿도 더 이상 식량을 훔쳐가지 않아요.{nl}감사합니다.				마을 주민
QUEST_LV_0300_20151022_000671		고맙네. 자네와 자네를 준비해준 라이마 여신께 감사할 따름이네.{nl}자넨 우리 마을의 축복이네.				마을 촌장
QUEST_LV_0300_20151022_000672		페릿 부족이 하루 빨리 정신을 차려야 할텐데..				드루이드 베네스
QUEST_LV_0300_20151022_000673		페릿 부족이 저렇게 생각하고 우릴 공격한다면..{nl}싸움은 피할 수 없겠죠..?				드루이드 베네스
QUEST_LV_0300_20151022_000674		마을을 구해주셔서 감사합니다. 계시자님.{nl}마군주를 몰아내고 여신을 구출해주셨으니 이제 페릿 부족에게만 집중하면 되겠군요.{nl}마을의 걱정을 덜어주셔서 정말 감사합니다.				
QUEST_LV_0300_20151022_000675		마군주를 몰아내고 여신을 구해주셔서 감사합니다.				마을 사제
QUEST_LV_0300_20151022_000676		이제 여신께서 돌아오셨으니 마을 사람들과 힘을 합쳐 신전을 재건해야겠습니다.				마을 사제
QUEST_LV_0300_20151022_000677		마을의 재앙을 해결해줘서 고맙네.{nl}내 자네를 내심 과소평가하고 있었네.. 사과하겠네..				마을 대사제
QUEST_LV_0300_20151022_000678		결국 라이마 여신께서 내다보신 대로 자네가 우리 마을을 구원했구만..{nl}고맙네.. 정말 고마워..				마을 대사제
QUEST_LV_0300_20151022_000679		구원자여.. 제가 마군주에게 붙잡혀 있는 동안 마을 사람들을 도와주셨다고 들었습니다..{nl}마땅히 제가 신경써야하는 일까지 대신 해주시다니..{nl}정말 감사합니다..				여신 라다
QUEST_LV_0300_20151022_000680		구원자여.. 당신이 나아가는 길에 이 세상의 미래가 걸려있습니다..{nl}가세요.. 라이마의 계시를 따라 구원의 길을 걸으세요..				여신 라다
