QUEST_UNUSED_20151001_000428		잘 전해주었소?{nl}그럼 이제 나아게 한 수 배우는 일만 남았군.				몽크 마스터
QUEST_UNUSED_20151001_000429		나에게 새로이 인정받기 위해 왔는가?{nl}하지만 지금은 내가 조금 곤란한 일이 있어서 힘들겠군.{nl}몬스터들 때문에 거래 장부가 찢어져버려서 말이네.{nl}{nl}이거 때문에 지금 다른 업무를 보는 일도 정신이 없네.{nl}정 급하다면 내가 장소를 알려줄테니 대신 예비 장부를 가져와주게.{nl}이런건 비밀이긴 하지만 자네와 그동안의 인연도 있고 믿을만한 사람이라고 생각하고 있으니 말이네.				파드너 마스터
QUEST_UNUSED_20151001_000430		예비 장부는 수도원 35_3에 있네.{nl}다른 자들이 찾아내지 못하도록 책속에 숨겨두기도 했고 가짜 장부도 여럿 놓아두었으니 잘 찾아오게.				파드너 마스터
QUEST_UNUSED_20151001_000431		제대로 찾아왔군.{nl}급한 일은 처리했으니 자네는 이걸로 인정해주겠네.				파드너 마스터
QUEST_UNUSED_20151001_000432		드루이드의 능력을 잘 다루기 위해서는 자신이 다루는 식물에 대해서 잘 아는 것도 중요합니다.{nl}마침 제가 신수의 날 이후로 과성장한 식물들이 몬스터가 되어 날뛰는 문제를 조사하는 중이니 당신도 배울 점이 있겠지요.{nl}이 일을 돕는다면 그 부분을 수행으로 인정해드리겠습니다.				드루이드 마스터
QUEST_UNUSED_20151001_000433		몬스터가 된 식물들을 처치하고 표본을 구해와 주세요.{nl}강한 몬스터일수록 더 많은 표본을 얻을 수 있습니다.				드루이드 마스터
QUEST_UNUSED_20151001_000434		실력도 충분하신 것 같군요.{nl}수행으로 인정해드리기로 했으니 약속대로 당신을 돕도록 하죠.				드루이드 마스터
QUEST_UNUSED_20151001_000435		저에게 용무가 있으신 거 같은데 지금은 더 중요한 일이 있습니다.{nl}먼 곳에서 발생한 마기가 점점 짙어지더니 오라클의 힘에 영향을 주기 시작했습니다.{nl}결국에는 클레어보이언스로 보는 영상이 흐려지고 있습니다.{nl}				오라클 마스터
QUEST_UNUSED_20151001_000436		그 마기를 처리하는 게 지금 가장 우선시되어야 할 일입니다.{nl}당신이 한번 나서보지 않겠습니까?{nl}어쩌면 이 일을 해결하는 게 당신의 능력을 증명하면서 동시에 시험이 될 수도 있다는 생각이 듭니다.				오라클 마스터
QUEST_UNUSED_20151001_000437		문제가 되고 있는 곳은 협곡지대 36_1입니다.{nl}제가 드린 정화의 로무바를 마기가 강한 곳에 세우면 됩니다.				오라클 마스터
QUEST_UNUSED_20151001_000438		잘 해내신 모양입니다.{nl}당신에게 맡기길 잘 했다는 생각이 듭니다.{nl}그럼 이제 제가 당신을 돕도록 하겠습니다.				오라클 마스터
QUEST_UNUSED_20151001_000439		좋소, 이 물건을 가지고 모치아 숲으로 가시오.{nl}그곳에서 접견인으로 보이는 사람을 발견하거든 일단 자연스럽게 대화를 하다가 그의 질문에 맞게 암구호를 말해야 하오.				몽크 마스터
QUEST_UNUSED_20151001_000440		마족 쉬트리가일라				
QUEST_UNUSED_20151001_000442		네게 부탁이 있다.{nl}날 죽음으로 이끌어 다오.				마족 쉬트리가일라
QUEST_UNUSED_20151001_000443		기둥에 적힌 글귀				
QUEST_UNUSED_20151001_000448		[클레로스의 최후]				기둥에 적힌 글귀
QUEST_UNUSED_20151001_000451		[클레로스의 죽음, 그 이후]				기둥에 적힌 글귀
QUEST_UNUSED_20151001_000454		기둥에 새겨진 글귀				
QUEST_UNUSED_20151001_000455		[럼펠스틸스킨과 달]				기둥에 새겨진 글귀
QUEST_UNUSED_20151001_000459		[럼펠스틸스킨과 리디아 샤펜의 화살]				기둥에 새겨진 글귀
QUEST_UNUSED_20151001_000462		[럼펠스틸스킨은 어디에]				기둥에 새겨진 글귀
QUEST_UNUSED_20151001_000465		레오폴다스				
QUEST_UNUSED_20151001_000468		우리 상단?{nl}뭐 궁금하다니까 알려줘 볼까?				레오폴다스
QUEST_UNUSED_20151001_000474		아, 그 위치라면 어떤 성물인지 알 것 같네요.{nl}도구를 사용하는 것 보다 일단 손으로 한 번 파 보세요.{nl}그리고 나오는 건 깨지지 않게 조심해서 가져다 주세요.				유라테
QUEST_UNUSED_20151001_000475		별로 어렵지 않을 거예요.				유라테
QUEST_UNUSED_20151001_000476		깨지지 않게 조심하세요.				유라테
QUEST_UNUSED_20151001_000477		이건 중요한 기록이나 문서를 남기기 위해 사용하던 비밀잉크가 담긴 병이예요. {nl}기록을 숨겨야 할 필요가 있을 때 이 잉크를 사용했을 거라고 알려져 있어요.{nl}감사합니다.				유라테
QUEST_UNUSED_20151001_000478		안타나스				
QUEST_UNUSED_20151001_000486		그건.. 대지의 요새의 몬스터에게서 나온 건가요?{nl}이건 과거 루클리스 부대 병사들이 가지고 있던 것입니다.{nl}				빌헬미나 캐리어트
QUEST_UNUSED_20151001_000487		가져오신 물건은 저희 기사단의 연구에 도움이 될 것 같습니다.{nl}더 구해주실 수 있나요?				빌헬미나 캐리어트
QUEST_UNUSED_20151001_000488		대지의 요새에 있는 몬스터들이 이런 걸 가지고 있다니..{nl}상당히 흥미롭군요.				빌헬미나 캐리어트
QUEST_UNUSED_20151001_000489		이만하면 충분합니다. {nl}저희들의 연구에 도움을 주셔서 감사합니다.				빌헬미나 캐리어트
QUEST_UNUSED_20151001_000490		무슨 일이시지요?{nl}이걸 제게 주신다는 건가요?{nl}				빌헬미나 캐리어트
QUEST_UNUSED_20151001_000492		안돼!{nl}제발 그 반지만은 빼앗지 말아줘..				원한 서린 영혼
QUEST_UNUSED_20151001_000493		그건 폭탄인데.. 불발탄인가?{nl}내가 좀 볼 수 있을까?				새퍼 마스터
QUEST_UNUSED_20151001_000494		이건 완전 구형이잖아!{nl}책에나 볼 수 있는 폭탄이야.				새퍼 마스터
QUEST_UNUSED_20151001_000496		부대원들에게 퇴각 명령을 내리지 못했습니다.{nl}나팔을 불어야 하는데..				루클리스 부대원의 영혼
QUEST_UNUSED_20151001_000498		감사합니다. 당신은 어디 소속이십니까?{nl}저도 이제 루클리스님께 돌아가야겠습니다..				루클리스 부대원의 영혼
QUEST_UNUSED_20151001_000499		잠시만요! 이 사람 말하는 것 좀 들어보세요.{nl}남의 집안 가보를 되돌려받고 싶으면 축복 받은 수정을 내놓으래요.{nl}				스콰이어 윌리야
QUEST_UNUSED_20151001_000500		애초에 엉터리 수정을 줘서 사람 목숨까지 잃게 해 놓선 말이에요. {nl}하, 참. 그러더니 이젠 한술 더 떠서 죽은 사람까지 불러다 물어보래요.{nl}				스콰이어 윌리야
QUEST_UNUSED_20151001_000501		그럼 어떻게 불러내냐니까 자기한테 망자 스크롤을 사라잖아요?{nl}그래서 얼마면 되냐고 물어보니까 몬스터를 잡아서 파란 도료를 대금으로 내래요.{nl}				스콰이어 윌리야
QUEST_UNUSED_20151001_000502		분명 이 늙은 사기꾼이 제가 파란 도료를 구하러 간 사이에 도망치려는 게 분명해요!{nl}저를 도와주실 수 있나요?				스콰이어 윌리야
QUEST_UNUSED_20151001_000503		흥분했더니 말에 두서가 없었네요. 차근차근 말씀드릴게요. {nl}저는 스콰이어 마스터인 유스티나 르귄의 친구 윌리야에요.{nl}				스콰이어 윌리야
QUEST_UNUSED_20151001_000504		저 파드너가 말하는 죽은 사람은 제 친구의 아버지인 가일류스 르귄님이죠.{nl}실종된 가일류스 르귄님이 돌아가셨다는 것도 황당한데 저 태도좀 보세요.{nl}				스콰이어 윌리야
QUEST_UNUSED_20151001_000505		저 늙은이가 르귄가의 가보를 유족에게 돌려주겠다면서 자기 사리사욕을 채우려 하잖아요.{nl}불쌍한 유스티나..{nl}				스콰이어 윌리야
QUEST_UNUSED_20151001_000506		파란 도료는 압가우딘 삼거리의 몬스터에게서 구하실 수 있을 거에요.{nl}꼭 부탁드릴게요.				스콰이어 윌리야
QUEST_UNUSED_20151001_000507		저 당돌한 여자애는 그 망자 스크롤이 얼만 줄 알고 저러는 건지.{nl}아깝지만 이젠 상관 없어.{nl}				파드너 에리카스
QUEST_UNUSED_20151001_000508		불쌍한 사람 도와줬다가 이런 치욕을 당해야 하다니, 참을 수 없단 말이다.{nl}이걸로 가일류스를 찾아서 직접 물어보라고!{nl}				파드너 에리카스
QUEST_UNUSED_20151001_000509		미레스 무덤가의 봉인을 찾아봐.{nl}그 친구, 그 근처에서 죽었다고 들었으니까.				파드너 에리카스
QUEST_UNUSED_20151001_000510		이 사기꾼은 축복 받은 수정을 돌려받을 때까지 물러날 생각은 없는 것 같아요.{nl}정말 독하네요.				스콰이어 윌리야
QUEST_UNUSED_20151001_000511		세상에, 여신이시여!{nl}이런 곳에서 사람을 만나게 될 줄이야..{nl}				단원 이르만타스
QUEST_UNUSED_20151001_000512		제발 도와주십시오.{nl}전 별의 탑에서부터 추격자들과 마족들에게 쫓기고 있습니다.{nl}				단원 이르만타스
QUEST_UNUSED_20151001_000513		제가 신호탄으로 동료들에게 알리는 동안 잠시만 곁에 있어주실 수 있습니까?{nl}이 곳에 함께 온 두 명의 동료에게 제가 아직 살아있다는 걸 알려야 합니다.				단원 이르만타스
QUEST_UNUSED_20151001_000514		추격자들이 여기까지..{nl}당신이 아니었다면 큰일날 뻔 했습니다.				단원 이르만타스
QUEST_UNUSED_20151001_000515		너는.. 마치 여신들이 네 곁에 있는 것 같구나.{nl}그래. 그 가증스러운 길티네보단 낫겠지.{nl}				마군주 하우벅
QUEST_UNUSED_20151001_000516		나는 마군주 하우벅이다.{nl}어쩌면 이미 너는 나의 다른 조각을 만났을 수도 있을 것이다.{nl}하지만 그 조각은 나와는 다른 조각일 뿐, 나는 네가 누군지 모른다..{nl}				마군주 하우벅
QUEST_UNUSED_20151001_000517		나는 이 아가타스라는 인간을 통해 마족에게서 도망치고 있었다.{nl}하지만 아가타스가 마족의 마비독에 당해 이렇게 죽어가고 있구나.{nl}				마군주 하우벅
QUEST_UNUSED_20151001_000518		네가 나를 믿을 수 없다는 건 안다.{nl}하지만 이 선하디 선한 순례자만은 살려다오.{nl}네가 검푸른 허브를 구해온다면 그를 살릴 수 있다.				마군주 하우벅
QUEST_UNUSED_20151001_000519		(정신을 잃은 것 같다)				순례자 아가타스
QUEST_UNUSED_20151001_000520		이것이라면 아가타스를 살릴 수 있다.{nl}너의 선의에 보답할 만한 게 없구나.{nl}				마군주 하우벅
QUEST_UNUSED_20151001_000521		네 눈엔 나는 그저 없애야 할 마족으로만 보이겠지.{nl}하지만 아가타스가 깨어나면 모든 것을 설명해 줄 것이다.				마군주 하우벅
QUEST_UNUSED_20151001_000525		반란은 400년 전의 일이고 지금은 신수의 날이다 뭐다 해서 병력도 부족하잖아.{nl}이 도시도 그렇고 아무리 역사적으로 의미가 있어도 그렇게까지 지켜야 할 필요가 있냐는 거야.{nl}				도굴꾼 아만다
QUEST_UNUSED_20151001_000526		뭔가 왕국의 뒤에서 시꺼먼 거래라도 오고간 게 아닐까 싶어.{nl}그런 게 아니라면 뭐하러 이런 돌덩이나 다름 없는 걸 지키겠어?{nl}				도굴꾼 아만다
QUEST_UNUSED_20151001_000530		보코르 유타				
QUEST_UNUSED_20151001_000533		혹시 이 묘역에 계속 계실 거라면 절 좀 도와주시겠어요?{nl}이 망자들은 제 힘으로도 어떻게 안되고 기도 소리만 들으면 마구 달려들거든요.{nl}				보코르 유타
QUEST_UNUSED_20151001_000534		여신께 기도를 올려야 이 근처에 계시는지라도 확인이 될 텐데 말예요.				보코르 유타
QUEST_UNUSED_20151001_000539		하지만 여기서도 여신께 기도는 닿지 않았나봐요.				보코르 유타
QUEST_UNUSED_20151001_000540		주술인형[보코르 전직]				
QUEST_UNUSED_20151001_000541		쓰러져 있는 용병의 시신				
QUEST_UNUSED_20151001_000542		어떻게 하면 되는 지 묻는다	QUEST_LV_0100_20150317_002398	Accept	수락	
QUEST_UNUSED_20151001_000543		알아서 하라며 거절한다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000544		리디아 샤펜과 플레쳐의 화살[플레쳐 전직]				
QUEST_UNUSED_20151001_000545		화살을 찾아보겠다고 한다	QUEST_LV_0100_20150317_002398	Accept	수락	
QUEST_UNUSED_20151001_000546		자신없으니 그만둔다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000547		몬스터를 어떻게 길들이는 지 묻는다	QUEST_LV_0100_20150317_002398	Accept	수락	
QUEST_UNUSED_20151001_000548		말도 안되는 소리라고 한다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000549		일발필중[슈바르츠라이터 전직]				
QUEST_UNUSED_20151001_000550		자신있다고 한다				
QUEST_UNUSED_20151001_000551		그렇지 않다고 거절한다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000552		전해주겠다고 한다				
QUEST_UNUSED_20151001_000553		수상하니 거절해둔다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000554		장부를 가져오겠다고 한다	QUEST_LV_0100_20150317_002398	Accept	수락	
QUEST_UNUSED_20151001_000555		다음에 다시오겠다고 한다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000556		해결하겠다고 한다	QUEST_LV_0100_20150317_002398	Accept	수락	
QUEST_UNUSED_20151001_000557		생각할 시간을 달라고 한다	QUEST_LV_0200_20150317_001850	Reject	거부	
QUEST_UNUSED_20151001_000561		검은 가루를 털어 내는 중				
QUEST_UNUSED_20151001_000563		누군가의 기록(2)				
QUEST_UNUSED_20151001_000566		다시 살펴 보는 중				
QUEST_UNUSED_20151001_000568		누군가의 기록(3)				
QUEST_UNUSED_20151001_000569		기둥 살펴 보는 중				
QUEST_UNUSED_20151001_000571		기둥의 글귀 읽는 중				
QUEST_UNUSED_20151001_000574		기둥의 글귀를 읽는 중				
QUEST_UNUSED_20151001_000575		빛나는 이끼 덕분에 글귀를 읽을 수 있게 되었습니다!				
QUEST_UNUSED_20151001_000580		기둥에 새겨진 인물(3)				
QUEST_UNUSED_20151001_000581		조각들을 끼워 넣는 중				
QUEST_UNUSED_20151001_000582		글귀를 읽을 수 있는 상태가 되었습니다!				
QUEST_UNUSED_20151001_000583		성물 수집(4)				
QUEST_UNUSED_20151001_000584		발굴해 오겠다고 한다				
QUEST_UNUSED_20151001_000585		성물 발굴 중				
QUEST_UNUSED_20151001_000586		성물을 발견 했습니다!				
QUEST_UNUSED_20151001_000587		모아보겠다고 한다				
QUEST_UNUSED_20151001_000589		루클리스 부대와 관련된 이야기가 적혀있습니다				
QUEST_UNUSED_20151001_000590		퇴각명령				
QUEST_UNUSED_20151001_000591		여정의 시작(1)				
QUEST_UNUSED_20151001_000592		여정의 시작(2)				
QUEST_UNUSED_20151001_000593		여정의 시작(3)				
QUEST_UNUSED_20151001_000594		여정의 시작(4)				
QUEST_UNUSED_20151001_000595		오르샤(1)				
QUEST_UNUSED_20151001_000596		오르샤(2)				
QUEST_UNUSED_20151001_000597		오르샤(3)				
QUEST_UNUSED_20151001_000598		감사의 마음을 담아				
QUEST_UNUSED_20151001_000599		꼭 드리고 싶어요				
QUEST_UNUSED_20151001_000600		숲 속에서 길을 잃다(1)				
QUEST_UNUSED_20151001_000601		숲 속에서 길을 잃다(2)				
QUEST_UNUSED_20151001_000602		주인없는 물건				
QUEST_UNUSED_20151001_000603		안전하지 않은 안전지대				
QUEST_UNUSED_20151001_000604		쉴 수 없는 이주민				
QUEST_UNUSED_20151001_000605		사라진 주교(1)				
QUEST_UNUSED_20151001_000606		사라진 주교(2)				
QUEST_UNUSED_20151001_000607		사라진 주교(3)				
QUEST_UNUSED_20151001_000608		사라진 주교(5)				
QUEST_UNUSED_20151001_000609		지워진 흔적 찾기				
QUEST_UNUSED_20151001_000610		불타버린 행방(1)				
QUEST_UNUSED_20151001_000611		불타버린 행방(2)				
QUEST_UNUSED_20151001_000612		지워진 흔적 찾기(5)				
QUEST_UNUSED_20151001_000613		지워진 흔적 찾기(6)				
QUEST_UNUSED_20151001_000614		정보원의 격무				
QUEST_UNUSED_20151001_000615		냄새 없애기				
QUEST_UNUSED_20151001_000616		발길 돌리기				
QUEST_UNUSED_20151001_000617		몬스터 군락지(1)				
QUEST_UNUSED_20151001_000618		몬스터 군락지(2)				
QUEST_UNUSED_20151001_000619		대규모 수색(1)				
QUEST_UNUSED_20151001_000620		대규모 수색(2)				
QUEST_UNUSED_20151001_000621		대규모 수색(3)				
QUEST_UNUSED_20151001_000622		대규모 수색(4)				
QUEST_UNUSED_20151001_000623		대규모 수색(5)				
QUEST_UNUSED_20151001_000624		대규모 수색(6)				
QUEST_UNUSED_20151001_000625		보조 활동				
QUEST_UNUSED_20151001_000626		수상한 장소				
QUEST_UNUSED_20151001_000627		사전 조사(1)				
QUEST_UNUSED_20151001_000628		사전 조사(2)				
QUEST_UNUSED_20151001_000629		오염된 몬스터				
QUEST_UNUSED_20151001_000630		돈 보다 귀한 목숨				
QUEST_UNUSED_20151001_000631		밑천 회수				
QUEST_UNUSED_20151001_000632		위험한 단서(1)				
QUEST_UNUSED_20151001_000633		위험한 단서(2)				
QUEST_UNUSED_20151001_000634		위험한 단서(3)				
QUEST_UNUSED_20151001_000635		우르보나스의 행방(1)				
QUEST_UNUSED_20151001_000636		우르보나스의 행방(2)				
QUEST_UNUSED_20151001_000637		우르보나스의 행방(3)				
QUEST_UNUSED_20151001_000638		우르보나스의 행방(4)				
QUEST_UNUSED_20151001_000639		우르보나스의 행방(5)				
QUEST_UNUSED_20151001_000640		우르보나스의 행방(6)				
QUEST_UNUSED_20151001_000641		우르보나스의 행방(7)				
QUEST_UNUSED_20151001_000642		일처리는 확실히				
QUEST_UNUSED_20151001_000643		새로운 적				
QUEST_UNUSED_20151001_000644		마족 꾸러미(1)				
QUEST_UNUSED_20151001_000645		마족 꾸러미(2)				
QUEST_UNUSED_20151001_000646		손아귀 속으로(5)				
QUEST_UNUSED_20151001_000647		손아귀 속으로(6)				
QUEST_UNUSED_20151001_000648		만약에 또 만약에(1)				
QUEST_UNUSED_20151001_000649		만약에 또 만약에(2)				
QUEST_UNUSED_20151001_000650		쫓아내기				
QUEST_UNUSED_20151001_000651		죄수 모집				
QUEST_UNUSED_20151001_000652		더 깊은 곳에서(1)				
QUEST_UNUSED_20151001_000653		더 깊은 곳에서(2)				
QUEST_UNUSED_20151001_000654		더 깊은 곳에서(3)				
QUEST_UNUSED_20151001_000655		더 깊은 곳에서(4)				
QUEST_UNUSED_20151001_000656		좀 더 기다려 달라고 한다				
QUEST_UNUSED_20151001_000657		모든 것이 제자리로(1)				
QUEST_UNUSED_20151001_000658		모든 것이 제자리로(2)				
QUEST_UNUSED_20151001_000659		녹 제거				
QUEST_UNUSED_20151001_000660		소중하고 귀중한				
QUEST_UNUSED_20151001_000661		발상의 전환				
QUEST_UNUSED_20151001_000662		모든 것이 제자리로(3)				
QUEST_UNUSED_20151001_000665		응사 마스터에게 보고	QUEST_JOBSTEP_20150414_002582	Talk with the Falconer Master	응사 마스터와 대화	
QUEST_UNUSED_20151001_000668		일반 몬스터에게 연속 200회 명중				
QUEST_UNUSED_20151001_000673		몽크 마스터에게 보고	QUEST_JOBSTEP_20150317_001913	Talk to the Monk Master	몽크 마스터와 대화	
QUEST_UNUSED_20151001_000680		드루이드 마스터에게 전달	QUEST_JOBSTEP_20150317_001526	Talk to the Druid Master	드루이드 마스터와 대화	
QUEST_UNUSED_20151001_000682		협곡지대 36_1에 정화의 로무바 설치				
QUEST_UNUSED_20151001_000684		오라클 마스터에게 보고	QUEST_JOBSTEP_20150317_001932	Talk to the Oracle Master	오라클 마스터와 대화	
QUEST_UNUSED_20151001_000687		석화서리를 피해 몬스터 처치				
QUEST_UNUSED_20151001_000688		상자를 열자 미약한 석화서리가 나오면서 주변의 몬스터까지 달려 듭니다! 석화서리를 피해서 몬스터를 모두 처치하세요.				
QUEST_UNUSED_20151001_000689		기둥 살펴 보기				
QUEST_UNUSED_20151001_000690		갈르엣 평야에 들어서자마자 보이는 것은 엄청난 수의 기둥입니다. 인상 깊어 보이는 기둥이 있으니 다가가 살펴 보세요.				
QUEST_UNUSED_20151001_000691		기둥 지키기				
QUEST_UNUSED_20151001_000693		기둥에서 가루 털어내기				
QUEST_UNUSED_20151001_000698		기둥에 새겨진 글귀 읽기				
QUEST_UNUSED_20151001_000701		다른 기둥에 누군가의 기록이 더 있을 것 같습니다. 기둥들을 살펴 보세요.				
QUEST_UNUSED_20151001_000702		숫자 말하기				
QUEST_UNUSED_20151001_000708		기둥의 글귀 읽기				
QUEST_UNUSED_20151001_000710		다른 기둥에는 이 이야기에 이어지는 다른 기록이 또 있을 것 같습니다. 기둥을 살펴 보세요.				
QUEST_UNUSED_20151001_000717		나머지 이야기가 저 기둥에 씌여 있을 것 같습니다. 다가가 살펴 보세요.				
QUEST_UNUSED_20151001_000718		기둥에 조각들 끼워 넣기				
QUEST_UNUSED_20151001_000719		가지고 있던 문양 조각을 끼워 넣으면 딱 맞을 것 같습니다. 조각을 끼워 넣어 보세요. 단, 퀘스트를 포기하면 문양 조각이 사라집니다. 문양 조각이 사라졌을 때에는 다시 기둥들로 가면 문양 조각을 얻을 수 있습니다.				
QUEST_UNUSED_20151001_000720		가지고 있던 문양 조각을 끼워 넣으면 딱 맞을 것 같습니다. 조각을 끼워 넣어 보세요.				
QUEST_UNUSED_20151001_000721		유라테와 성물에 대한 대화를 계속 해 보세요.				
QUEST_UNUSED_20151001_000722		성물 발굴해 오기				
QUEST_UNUSED_20151001_000723		탐색봉으로 찾아 낸 곳으로 가서 조심스럽게 성물을 발굴해 보세요.				
QUEST_UNUSED_20151001_000724		유라테에게 보고				
QUEST_UNUSED_20151001_000725		성물을 찾은 것 같습니다. 유라테에게 가져다 주세요.				
QUEST_UNUSED_20151001_000729		빌헬미나 캐리어트에게 전달				
QUEST_UNUSED_20151001_000731		루클리스 부대 병사 영혼과 대화				
QUEST_UNUSED_20151001_000733		나팔을 불어 영혼들에게 퇴각 명령 알리기				
QUEST_UNUSED_20151001_000735		사제 이르마와 대화				
QUEST_UNUSED_20151001_000737		은거지에 들어가자 마군주 마르녹스가 급습했습니다!				
QUEST_UNUSED_20151001_000738		마군주 마르녹스를 처치했습니다. 사제 이르마와 대화하세요.				
QUEST_UNUSED_20151001_000739		마군주 마르녹스 처치				
QUEST_UNUSED_20151001_000741		아무것도 얻지 못했습니다				
QUEST_UNUSED_20151016_000744		자. 넌 누구 편이지?{nl}왕국군? 아니면 칼리스 기사단?{nl}대답하기 싫으면 그냥 볼 일 보시던가.				도굴꾼 아만다
QUEST_UNUSED_20151016_000746		{nl}클레로스는 어느 영주 가문의 장자로 태어났다.{nl}그러나 계모의 자식에게 계승권을 빼앗기고 영지 밖으로 쫓겨나게 되었다.{nl}				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000747		실패만으로 가득찬 그의 삶은 이렇게 시작되었다.{nl}방황하던 그는 지인의 권유로 일자리를 찾아 떠났다.{nl}				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000748		하지만 그건 클레로스를 팔아치우려는 계획이었다.{nl}그는 감금당한 채로 죽도록 일만 해야하는 노예로 전락하게 되었다.{nl}				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000749		그러던 도중 루클리스의 구원을 받아 노예의 삶에서 벗어날 수 있었다.{nl}하지만 평화로운 나날도 잠시 뿐이었다.{nl}				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000750		루클리스가 토벌되면서 그의 안식은 재난으로 변했던 것이다.				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000753		하지만 그는 그곳에서 고초를 겪다 끝내 생을 마감하고 말았다.				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000756		때문에 그의 인생에 숨겨진 사연이 있을 것이라 말하는 사람들도 있다.{nl}그러나 어떤 사연인지 정확히 아는 사람은 아무도 없다.{nl}				기둥에 적힌 글귀
QUEST_UNUSED_20151016_000762		그렇습니다. 럼펠스틸스킨은 마족이었던 것입니다.{nl}마족의 힘과 화살의 힘이 부딫히면서 천천히 바스라지기 시작한 것입니다.{nl}				기둥에 새겨진 글귀
QUEST_UNUSED_20151016_000763		그걸 이제서야 깨달은 럼펠스킬스킨은 마구 화가 났지만 달리 어찌 할 도리가 없었습니다.				기둥에 새겨진 글귀
QUEST_UNUSED_20151016_000770		어떤가. 같은 여신의 동지끼리 돕는 건?{nl}당당히 우리 케도라 상단의 조력자! 쯤이 되는 것 아니겠나.				레오폴다스
QUEST_UNUSED_20151016_000772		좀 엄격하게 일을 가르치려고 했는데 내 마음이 사실 안 그래. {nl}자네가 살짝 도와줬으면 좋겠어.{nl}				레오폴다스
QUEST_UNUSED_20151016_000773		저 아래쪽으로 가면 유라테나 마르젤리유스의 일을 도울 수도 있네.{nl}아무리 베테랑이지만 이 동네 몬스터가 좀 거칠어야 말이지.				레오폴다스
QUEST_UNUSED_20151016_000775		그래서 이렇게 이 곳 마나하스에 주력하고 있는 것이고.				레오폴다스
QUEST_UNUSED_20151016_000788		감사의 뜻으로 책 사본을 드리지요.{nl}조금 거친 언어로 쓰여 있지만 저희는 과거의 진상을 알리는 게 목적이니까요.				빌헬미나 캐리어트
QUEST_UNUSED_20151016_000789		루클리스 부대원의 영혼				
QUEST_UNUSED_20151016_000794		생각해 봐. 이상하지 않아?{nl}개미굴 처럼 땅 속을 파서 만든 엄청난 곳을 왕국군이 철통같이 지키고 있다고.{nl}	QUEST_UNUSED_20151001_000525		반란은 400년 전의 일이고 지금은 신수의 날이다 뭐다 해서 병력도 부족하잖아.{nl}이 도시도 그렇고 아무리 역사적으로 의미가 있어도 그렇게까지 지켜야 할 필요가 있냐는 거야.{nl}	도굴꾼 아만다
QUEST_UNUSED_20151016_000797		어쨌든 나와 함께 하는 거지?{nl}일단 집결지에 있는 루클리스 시대의 기록물들을 모아줘.{nl}저길 지키고 있는 가고일을 뚫을려면 그게 필요하거든.				도굴꾼 아만다
QUEST_UNUSED_20151016_000799		저는 이 숲에 사는 드루이드 레야라고 해요.{nl}페릿이 마을을 습격해서 식량을 훔쳐달아나는 걸 쫓다가 여기까지 왔죠.{nl}그런데 식량도 못찾고 오히려 페릿들에게 공격당해버렸네요.{nl}				드루이드 레야
QUEST_UNUSED_20151016_000800		마을로 돌아가기 전에 상처를 좀 추스려야할 것 같은데..{nl}저 위에 올라가면 상처에 잘 듣는 약초가 있어요. 그 약초를 좀 가져다주세요.				드루이드 레야
QUEST_UNUSED_20151016_000801		약초를 채집하다보면 페릿들이 공격해올지도 몰라요.{nl}언젠가부터 이 숲에서 나는 모든 게 자기꺼라고 생각하는 것 같더라구요.				드루이드 레야
QUEST_UNUSED_20151016_000805		깜짝 놀랐던 건 죽을 각오로 마신 과즙이 상상 이상으로 맛이 좋았다는 거에요..				마을 주민
QUEST_UNUSED_20151016_000806		와 감사해요. 이 정도 양이면 한동안 식수 걱정은 없겠어요.				마을 주민
QUEST_UNUSED_20151016_000809		페릿으로 변신하기 위해서는 페릿들의 행동을 잘 관찰해야합니다.{nl}어색한 행동을 하면 페릿들에게 들킬테니까요.{nl}제가 빈 주문서를 드릴테니 여기에 페릿의 행동을 관찰하고 적어주세요.				드루이드 베네스
QUEST_UNUSED_20151016_000810		관찰하신 내용을 토대로 페릿 변신 주문서를 만들어드릴 겁니다.{nl}그러니 최대한 상세하게 적어 주세요. 변신해도 어색하지 않도록 말이죠.				드루이드 베네스
QUEST_UNUSED_20151016_000811		자세하게 관찰해오셨네요.{nl}이 정도면 변신해도 큰 문제 없겠어요.{nl}잠시만요.				드루이드 베네스
QUEST_UNUSED_20151016_000812		누군가의 기록				
QUEST_UNUSED_20151016_000813		무언가가 새겨진 기둥				
QUEST_UNUSED_20151016_000816		기둥의 비밀은 숫자 3개				
